OrigProj,Amount,projecttitle,Forum,Sponsor,AwardYear,Color,subforum,Improvement Type,ProjNo
17SEA-14,1258000,Walkways/wheelchair Ramps,FHWA Countywide,Seattle,1992,CMAQ,King Countywide Forum,Bicycle/Pedestrian,17SEA-14
17SEA-15,100000,Burke-Gilman Trail: Expansion and Safety Improvements,FHWA Countywide,Seattle,1992,CMAQ,King Countywide Forum,Bicycle/Pedestrian,17SEA-15
17SEA-38,336000,Dust Control Street Paving,FHWA Countywide,Seattle,1992,CMAQ,King Countywide Forum,"Preservation, Maintenance & Operations",17SEA-38
17SEA-42,382000,Fuel Conversion,FHWA Countywide,Seattle,1992,CMAQ,King Countywide Forum,"Preservation, Maintenance & Operations",17SEA-42
17SEA-63,2600000,Rainier Ave. HOV/Signal Improvements,FHWA Countywide,Seattle,1992,STP(U),King Countywide Forum,Safety & Efficiency,17SEA-63
17SEA-67,400000,Intermodal Transportation Terminal,FHWA Countywide,WSDOT Northwest Region,1992,STP(U),King Countywide Forum,Transit Capital & Expansion,17SEA-67
17ST-07,320000,S 154th St,FHWA Countywide,SeaTac,1992,STP(U),King Countywide Forum,Safety & Efficiency,17ST-07
17ST-08,600000,Personal Rapid Transit Phase 1,FHWA Countywide,SeaTac,1992,CMAQ,King Countywide Forum,Transit Capital & Expansion,17ST-08
17ST-09A,74024,Military Rd S (S 128th ST to S 229th Pl.),FHWA Countywide,SeaTac,1992,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",17ST-09A
17TUK-10,100000,Valley Signal Coordination,FHWA Countywide,Tukwila,1992,STP(U),King Countywide Forum,Safety & Efficiency,17TUK-10
17TUK-17,575000,Southcenter Blvd.,FHWA Countywide,Tukwila,1992,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,17TUK-17
17TUK-20,43474,Strander Blvd (at Southcenter Pkwy),FHWA Countywide,Tukwila,1992,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",17TUK-20
17WD1-04,1554111,I-5 Park and Ride Lot: at SR18 Vic. (Federal Way Park and Ride Lot#2),FHWA Countywide,WSDOT Northwest Region,1992,STP(U),King Countywide Forum,Transit Capital & Expansion,17WD1-04
17WD1-62,1410000,I-405: Transit/Carpool (HOV) lanes (Coal Creek to Northup),FHWA Countywide,WSDOT Northwest Region,1992,STP(U),King Countywide Forum,Safety & Efficiency,17WD1-62
18BRE-01,456000,Kitsap Way (Weslon Pl. to Auto Center Way),FHWA Countywide,Bremerton,1992,STP(U),Kitsap Countywide Forum,Safety & Efficiency,18BRE-01
18KT-01,47665,Bainbridge Intermodal Terminal,FHWA Countywide,Kitsap Transit,1992,STP(U),Kitsap Countywide Forum,Transit Capital & Expansion,18KT-01
18KT-03,215000,Southworth Park and Ride,FHWA Countywide,Kitsap Transit,1992,STP(R),Kitsap Countywide Forum,Transit Capital & Expansion,18KT-03
18KT-04,225000,Kingston Park and Ride at Georges Corner (formerly two projects),FHWA Countywide,Kitsap Transit,1992,STP(R),Kitsap Countywide Forum,Transit Capital & Expansion,18KT-04
18KT-05,30000,Ferry Dock Improvements in Port Orchard: Horluck Passenger Ferries,FHWA Countywide,Kitsap Transit,1992,STP(U),Kitsap Countywide Forum,Transit Capital & Expansion,18KT-05
18KTCO-01,189135,Bethel Ave SE,FHWA Countywide,Kitsap Transit,1992,STP(U),Kitsap Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,18KTCO-01
18KTCO-02,233038,SW Lake Flora Rd.,FHWA Countywide,Kitsap County,1992,STP(R),Kitsap Countywide Forum,Safety & Efficiency,18KTCO-02
18POUL-1,125961,"Bond Rd., Lindvog and Front St",FHWA Countywide,Poulsbo,1992,STP(U),Kitsap Countywide Forum,Safety & Efficiency,18POUL-1
27EAT-01,493050,Center St E,FHWA Countywide,Eatonville,1992,STP(R),Pierce Countywide Forum,"Preservation, Maintenance & Operations",27EAT-01
27FIR-01,28000,Electron Way,FHWA Countywide,Fircrest,1992,STP(U),Pierce Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,27FIR-01
27FIR-03,160000,"Citywide; Curb, Gutter, Sidewalk and Bus Turnouts",FHWA Countywide,Fircrest,1992,CMAQ,Pierce Countywide Forum,Safety & Efficiency,27FIR-03
27MIL-02,2350,Alder St (at 27th Ave),FHWA Countywide,Milton,1992,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",27MIL-02
27PCO-01,50000,Carless Commute Program for 1993,FHWA Countywide,Pierce County,1992,CMAQ,Pierce Countywide Forum,"Studies, TDM, Other",27PCO-01
27PCO-05,375905,90th St NW,FHWA Countywide,Pierce County,1992,STP(U),Pierce Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,27PCO-05
27PCO-10,256000,Canyon Rd (106th to 116th)  (also funded at 27PCO-10A),FHWA Countywide,Pierce County,1992,STP(U),Pierce Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,27PCO-10
27PCO-11,266600,Canyon Rd E (192nd to 224th),FHWA Countywide,Pierce County,1992,STP(U),Pierce Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,27PCO-11
27PCO-17,307075,Hall Rd/S. Vaughn Rd Kpn/Wright-Bliss/Olsen Intersection,FHWA Countywide,Pierce County,1992,STP(R),Pierce Countywide Forum,Safety & Efficiency,27PCO-17
27PCO-23,1300000,Olympic Dr at Point Fosdick Rd,FHWA Countywide,Pierce County,1992,STP(U),Pierce Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,27PCO-23
27PCO-35,2426498,Waller Rd E  (112th St E to 72nd St E),FHWA Countywide,Pierce County,1992,STP(U),Pierce Countywide Forum,Safety & Efficiency,27PCO-35
27PCO-40,222010,Pavement Management System Countywide,FHWA Countywide,Pierce County,1992,STP(U),Pierce Countywide Forum,"Preservation, Maintenance & Operations",27PCO-40
27PCO-41,125000,Transportation GIS,FHWA Countywide,Pierce County,1999,STP(U),Pierce Countywide Forum,"Studies, TDM, Other",27PCO-41
27PCO-41,259500,Transportation GIS,FHWA Countywide,Pierce County,1992,CMAQ,Pierce Countywide Forum,"Studies, TDM, Other",27PCO-41
27PT-01,120000,CNG Refueling System Regional Express Bus Fleet,FHWA Countywide,Pierce Transit,1992,CMAQ,Pierce Countywide Forum,"Preservation, Maintenance & Operations",27PT-01
27PT-03,1904818,Tacoma Dome Park and Ride Lot land acquisition and final design,FHWA Countywide,Pierce Transit,1992,CMAQ,Pierce Countywide Forum,Transit Capital & Expansion,27PT-03
27TAC-02,2175000,SR-509 E-W Corridor,FHWA Countywide,Tacoma,1992,STP(U),Pierce Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,27TAC-02
27TAC-07,397053,1992-1993 Traffic Signal Update,FHWA Countywide,Tacoma,1992,CMAQ,Pierce Countywide Forum,"Studies, TDM, Other",27TAC-07
27TAC-08,432500,Central Business District Closed Loop,FHWA Countywide,Tacoma,1992,CMAQ,Pierce Countywide Forum,"Studies, TDM, Other",27TAC-08
27TAC-09,129750,"S 38th St from Tacoma Ave to ""M"" St",FHWA Countywide,Tacoma,1992,CMAQ,Pierce Countywide Forum,"Studies, TDM, Other",27TAC-09
27TAC-18,200000,S 96th St (also funded at TAC-1P),FHWA Countywide,Tacoma,1992,STP(U),Pierce Countywide Forum,Safety & Efficiency,27TAC-18
27TAC-21,222008,Citywide Pavement Management System,FHWA Countywide,Tacoma,1992,STP(U),Pierce Countywide Forum,"Preservation, Maintenance & Operations",27TAC-21
27TAC-23,2025000,SR-509 E-W corridor,FHWA Countywide,Tacoma,1992,CMAQ,Pierce Countywide Forum,Bicycle/Pedestrian,27TAC-23
31BOTH-04,200000,228th St. SE,FHWA Countywide,Bothell,1992,STP(U),Snohomish Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,31BOTH-04
31CT-04,320000,Arterial HOV Improvements,FHWA Countywide,Community Transit,1992,CMAQ,Snohomish Countywide Forum,Transit Capital & Expansion,31CT-04
31CT-10,200000,Signal Priority Demonstration Project,FHWA Countywide,Community Transit,1992,CMAQ,Snohomish Countywide Forum,Safety & Efficiency,31CT-10
31EVT-01,1200000,SR-526:  I-5 Interchange,FHWA Countywide,Everett,1992,STP(U),Snohomish Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,31EVT-01
31EVT-02,1027000,Paine Field Blvd,FHWA Countywide,Everett,1992,STP(U),Snohomish Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,31EVT-02
31EVT-06,464000,Evergreen Way (SR-526 to 52nd Street),FHWA Countywide,Everett,1992,STP(U),Snohomish Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,31EVT-06
31EVT-07,50000,SR-529: E Marine View DR (at North Broadway) to Alverson Bridge (also funded at EVT-5 and,FHWA Countywide,Everett,1992,STP(U),Snohomish Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,31EVT-07
31EVT-10,400000,SR-526 HOV lane (EB on Evergreen Way to SB I-5 at SW 128th St),FHWA Countywide,Everett,1992,CMAQ,Snohomish Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,31EVT-10
31EVT-11,50000,4th Ave W,FHWA Countywide,Everett,1992,STP(U),Snohomish Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,31EVT-11
31EVT-12,337297,Neighborhood Mitigation Projects:  Various Locations,FHWA Countywide,Everett,1992,CMAQ,Snohomish Countywide Forum,Bicycle/Pedestrian,31EVT-12
31GF-01,18000,North Granite Avenue,FHWA Countywide,Granite Falls,1992,STP(U),Snohomish Countywide Forum,Bicycle/Pedestrian,31GF-01
31LYN-01,670000,I-5: 196th Interchange Improvements: All remaining PE,FHWA Countywide,Lynnwood,1992,STP(U),Snohomish Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,31LYN-01
31LYN-02,228000,SR-99 King Co./Snohomish Line to 148th St. SW,FHWA Countywide,Lynnwood,1992,STP(U),Snohomish Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,31LYN-02
31LYN-03,153000,Citywide Sidewalks,FHWA Countywide,Lynnwood,1992,CMAQ,Snohomish Countywide Forum,Bicycle/Pedestrian,31LYN-03
31SNOCO-01,1000000,Countywide Structural Overlays,FHWA Countywide,Snohomish County,1992,STP(U),Snohomish Countywide Forum,"Preservation, Maintenance & Operations",31SNOCO-01
31SNOCO-02,800000,Interurban Trail (also funded at 31SNOCO-34),FHWA Countywide,Snohomish County,1992,CMAQ,Snohomish Countywide Forum,Bicycle/Pedestrian,31SNOCO-02
31SNOCO-03,180000,Centennial Trail,FHWA Countywide,Snohomish County,1992,CMAQ,Snohomish Countywide Forum,Bicycle/Pedestrian,31SNOCO-03
31SNOCO-04,920000,Countywide Miscellaneous Walkway/bikeways,FHWA Countywide,Snohomish County,1992,CMAQ,Snohomish Countywide Forum,Bicycle/Pedestrian,31SNOCO-04
31SNOCO-06,25000,Airport Rd,FHWA Countywide,Snohomish County,1992,CMAQ,Snohomish Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,31SNOCO-06
31SNOCO-07,190000,35th Ave SE (116th St SE to 132nd St SE),FHWA Countywide,Snohomish County,1992,STP(U),Snohomish Countywide Forum,Safety & Efficiency,31SNOCO-07
31SNOCO-09,60000,228th St SE: Locust Way to 9th Avenue SE),FHWA Countywide,Snohomish County,1992,STP(U),Snohomish Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,31SNOCO-09
31SNOCO-10,80000,228th St SE (I-405 to 39th),FHWA Countywide,Snohomish County,1992,STP(U),Snohomish Countywide Forum,Safety & Efficiency,31SNOCO-10
31WD1-17,304000,I-5: 172nd St. Interchange,FHWA Countywide,WSDOT Northwest Region,1992,STP(U),Snohomish Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,31WD1-17
31WD1-37,1000000,Bothell Park and Ride lot #2 (also called Canyon Park and Ride),FHWA Countywide,WSDOT Northwest Region,1992,CMAQ,Snohomish Countywide Forum,Transit Capital & Expansion,31WD1-37
ALG-1,630536,West Valley Highway Overlay,FHWA Countywide,Algona,2014,STP(UL),King Countywide Forum,"Preservation, Maintenance & Operations",ALG-1
ARL-1,200000,SR-531/67th Ave NE Intersection Improvements,FHWA Countywide,Arlington,1995,STP(R),Snohomish Countywide Forum,Safety & Efficiency,ARL-1
ARL-11,184838,67th Ave Pavement Preservation ,FHWA Countywide,Arlington,2014,STP(US),Snohomish Countywide Forum,"Preservation, Maintenance & Operations",ARL-11
ARL-12,134965,Smokey Point Blvd Pavement Preservation (188th to SR-530) ,FHWA Countywide,Arlington,2014,STP(US),Snohomish Countywide Forum,"Preservation, Maintenance & Operations",ARL-12
ARL-3,200000,59th Ave NE,FHWA Countywide,Arlington,1999,STP(R),Snohomish Countywide Forum,Bicycle/Pedestrian,ARL-3
ARL-5,269716,67th Avenue Roadway Improvements - 204th Street NE to Lebanon Ave,FHWA Countywide,Arlington,2006,STP(U),Snohomish Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,ARL-5
ARL-5,608000,67th Avenue Roadway Improvements - 204th Street NE to Lebanon Ave,FHWA Countywide,Arlington,2009,STP(U),Snohomish Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,ARL-5
ARL-9,1816500,"Airport Blvd, Phase 2",FHWA Countywide,Arlington,2012,STP(U),Snohomish Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,ARL-9
AUB-12,900000,South 277th Street Reconstruction: Phase 1 (Auburn Way North to Frontage Road),FHWA Countywide,Auburn,1995,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,AUB-12
AUB-13,800000,C Street SW:  Ramp to SR-18,FHWA Countywide,Auburn,1995,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,AUB-13
AUB-13,10000000,C Street SW:  Ramp to SR-18,FHWA RPEC,Auburn,2000,STP(U),RPEC,General Purpose & High Occupancy Vehicle Capacity,AUB-13
AUB-13B,150000,A Street SW Loop,FHWA Countywide,Auburn,2005,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,AUB-13B
AUB-13B,299977,A Street SW Loop,FHWA Countywide,Auburn,2002,STP(U),King Countywide Forum,General Purpose & High Occupancy Vehicle Capacity,AUB-13B
AUB-20,268000,Kersey Way Improvements,FHWA Countywide,Auburn,1997,STP(U),King Countywide Forum,Safety & Efficiency,AUB-20
AUB-21,25097,West Main Street,FHWA Countywide,Auburn,1999,STP(U),King Countywide Forum,Bicycle/Pedestrian,AUB-21
AUB-22,494780,Auburn Way North Improvements,FHWA Countywide,Auburn,1999,STP(U),King Countywide Forum,Safety & Efficiency,AUB-22
AUB-23,940000,Transit Center Pedestrian Bridge,FHWA RPEC,Auburn,1999,CMAQ,RPEC,Bicycle/Pedestrian,AUB-23
AUB-24,200000,A Street SW,FHWA Countywide,Auburn,1999,STP(U),King Countywide Forum,Safety & Efficiency,AUB-24
AUB-29,41112,A ST NW Extension,FHWA RPEC,Auburn,2005,STP(U),RPEC,General Purpose & High Occupancy Vehicle Capacity,AUB-29
AUB-29,859500,A ST NW Extension,FHWA RPEC,Auburn,2004,STP(U),RPEC,General Purpose & High Occupancy Vehicle Capacity,AUB-29
AUB-30,554243,Auburn Urban Center Transportation System Management Improvements,FHWA Countywide,Auburn,2004,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",AUB-30
AUB-31,342000,C Street Trail,FHWA Countywide,Auburn,2004,CMAQ,King Countywide Forum,Bicycle/Pedestrian,AUB-31
AUB-35,693401,South Auburn ITS Expansion,FHWA Countywide,Auburn,2009,CMAQ,King Countywide Forum,Safety & Efficiency,AUB-35
AUB-41,560000,West Valley Highway System Preservation (15th St NW to 37th St NW),FHWA Countywide,Auburn,2012,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",AUB-41
AUB-42,1020700,S 272nd / 277th Street Corridor Capacity & Non-Motorized Trail Improvements,FHWA RPEC,Auburn,2012,STP(U),RPEC,General Purpose & High Occupancy Vehicle Capacity,AUB-42
AUB-47,817500,15th Street NW/NE Preservation ,FHWA Countywide,Auburn,2014,STP(UL),King Countywide Forum,"Preservation, Maintenance & Operations",AUB-47
AUB-48,967500,Auburn Way N Preservation ,FHWA Countywide,Auburn,2014,STP(UL),King Countywide Forum,"Preservation, Maintenance & Operations",AUB-48
AUB-49,520000,F Street SE Non-Motorized Improvements ,FHWA Countywide,Auburn,2014,CMAQ,King Countywide Forum,Bicycle/Pedestrian,AUB-49
AUB-5,720000,Main Street Improvements,FHWA Countywide,Auburn,1993,STP(U),King Countywide Forum,"Preservation, Maintenance & Operations",AUB-5
AUB-50,3774340,W Main Street Multimodal Corridor and ITS Improvements ,FHWA Countywide,Auburn,2014,STP(UL),King Countywide Forum,Safety & Efficiency,AUB-50
AUB-51,750000,Lake Tapps Parkway Preservation ,FHWA Countywide,Auburn,2014,STP(UL),Pierce Countywide Forum,"Preservation, Maintenance & Operations",AUB-51
AUB-6,78000,Bike Plan - Construction,FHWA Countywide,Auburn,1993,CMAQ,King Countywide Forum,Bicycle/Pedestrian,AUB-6
BAIN-1,585000,Ferncliff Avenue Reconstruction (Winslow Way to High School Road),FHWA Countywide,Bainbridge Island,1995,STP(R),Kitsap Countywide Forum,"Preservation, Maintenance & Operations",BAIN-1
BAIN-1,715000,Ferncliff Avenue Reconstruction (Winslow Way to High School Road),FHWA Countywide,Bainbridge Island,1993,STP(R),Kitsap Countywide Forum,"Preservation, Maintenance & Operations",BAIN-1
BAIN-10,100000,Ericksen Avenue Improvements,FHWA Countywide,Bainbridge Island,2002,STP(R),Kitsap Countywide Forum,Bicycle/Pedestrian,BAIN-10
BAIN-10,148653,Ericksen Avenue Improvements,FHWA Countywide,Bainbridge Island,2003,STP(R),Kitsap Countywide Forum,Bicycle/Pedestrian,BAIN-10
BAIN-11,350000,Wyatt Way Improvements,FHWA Countywide,Bainbridge Island,2006,STP(U),Kitsap Countywide Forum,Safety & Efficiency,BAIN-11
BAIN-11,500000,Wyatt Way Improvements,FHWA Countywide,Bainbridge Island,2004,STP(U),Kitsap Countywide Forum,Safety & Efficiency,BAIN-11
BAIN-12,200000,Non-motorized Safety Improvements at Blakely & Wilkes Elementary Schools,FHWA Countywide,Bainbridge Island,2004,STP(U),Kitsap Countywide Forum,Bicycle/Pedestrian,BAIN-12
BAIN-13,720000,Winslow Way / SR-305 Improvements,FHWA Countywide,Bainbridge Island,2006,STP(U),Kitsap Countywide Forum,"Preservation, Maintenance & Operations",BAIN-13
BAIN-16,600000,Wing Point Way Reconstruction,FHWA Countywide,Bainbridge Island,2006,STP(U),Kitsap Countywide Forum,"Preservation, Maintenance & Operations",BAIN-16
BAIN-17,266000,Wing Point Way Non-Motorized Facility Improvements,FHWA Countywide,Bainbridge Island,2006,STP(U),Kitsap Countywide Forum,Bicycle/Pedestrian,BAIN-17
BAIN-18,221687,North Madison Non-Motorized Improvements (Day Rd to SR-305) Phase I,FHWA Countywide,Bainbridge Island,2009,STP(U),Kitsap Countywide Forum,Bicycle/Pedestrian,BAIN-18
BAIN-19,200000,Rockaway Beach Road Stabilization,FHWA Countywide,Bainbridge Island,2009,STP(U),Kitsap Countywide Forum,"Preservation, Maintenance & Operations",BAIN-19
BAIN-21,856350,Fort Ward Hill Reconstruction & Shoulder Widening - Phase 2 (Sunny Hill to Bolero Dr),FHWA Countywide,Bainbridge Island,2012,STP(U),Kitsap Countywide Forum,"Preservation, Maintenance & Operations",BAIN-21
BAIN-22,173000,N. Madison Avenue Non-Motorized Improvements (Valley to Winther),FHWA Countywide,Bainbridge Island,2012,STP(U),Kitsap Countywide Forum,Bicycle/Pedestrian,BAIN-22
BAIN-23,357112,Island-Wide Chip Seal,FHWA Countywide,Bainbridge Island,2012,STP(U),Kitsap Countywide Forum,"Preservation, Maintenance & Operations",BAIN-23
BAIN-24,433844,Madison Avenue Pavement (High School Road to Winslow Way),FHWA Countywide,Bainbridge Island,2012,STP(U),Kitsap Countywide Forum,"Preservation, Maintenance & Operations",BAIN-24
BAIN-25,1330000,Wing Point Way Non-Motorized Imp (Ferncliff Ave to Park Ave),FHWA Countywide,Bainbridge Island,2014,STP(US),Kitsap Countywide Forum,Bicycle/Pedestrian,BAIN-25
BAIN-26A,692000,Sound to Olympic Trail Phase 4 ,FHWA RPEC,Bainbridge Island,2014,STP(US),RPEC,Bicycle/Pedestrian,BAIN-26A
BAIN-27,303000,2015 Island-wide Chip Seal,FHWA Countywide,Bainbridge Island,2014,STP(US),Kitsap Countywide Forum,"Preservation, Maintenance & Operations",BAIN-27
BAIN-9,443000,High School Road Preservation and Bike/Ped Improvements,FHWA Countywide,Bainbridge Island,1997,STP(R),Kitsap Countywide Forum,Bicycle/Pedestrian,BAIN-9
BAIN-9,645502,High School Road Preservation and Bike/Ped Improvements,FHWA Countywide,Bainbridge Island,1999,STP(R),Kitsap Countywide Forum,Bicycle/Pedestrian,BAIN-9
BELL-1 ,638000,Enatai-to-Mercer Slough Trail,FHWA Countywide,Bellevue,1993,STP(U),King Countywide Forum,Bicycle/Pedestrian,BELL-1
